Grid Size,Threads,Mode,Schedule,Run,Execution Time (s)
5000x5000,2,column,static,4,0.324634
5000x5000,2,column,static,5,0.324155
5000x5000,2,column,static,Average,0.323993
5000x5000,2,column,dynamic,1,0.323765
5000x5000,2,column,dynamic,2,0.324325
5000x5000,2,column,dynamic,3,0.326904
5000x5000,2,column,dynamic,4,0.324761
5000x5000,2,column,dynamic,5,0.325177
5000x5000,2,column,dynamic,Average,0.324987
5000x5000,2,column,guided,1,0.324174
5000x5000,2,column,guided,2,0.323223
5000x5000,2,column,guided,3,0.324584
5000x5000,2,column,guided,4,0.325009
5000x5000,2,column,guided,5,0.324616
5000x5000,2,column,guided,Average,0.324321
5000x5000,2,column,runtime,1,0.324956
5000x5000,2,column,runtime,2,0.323842
5000x5000,2,column,runtime,3,0.322843
5000x5000,2,column,runtime,4,0.323931
5000x5000,2,column,runtime,5,0.323364
5000x5000,2,column,runtime,Average,0.323787
5000x5000,2,column,static,1,0.171983
5000x5000,2,column,static,2,0.168111
5000x5000,2,column,static,3,0.167269
5000x5000,2,column,static,4,0.168838
5000x5000,2,column,static,5,0.166738
5000x5000,2,column,static,Average,0.168588
5000x5000,2,column,dynamic,1,0.167184
5000x5000,2,column,dynamic,2,0.168743
5000x5000,2,column,dynamic,3,0.168183
5000x5000,2,column,dynamic,4,0.168043
5000x5000,2,column,dynamic,5,0.167454
5000x5000,2,column,dynamic,Average,0.167921
5000x5000,2,column,guided,1,0.166885
5000x5000,2,column,guided,2,0.167369
5000x5000,2,column,guided,3,0.167664
5000x5000,2,column,guided,4,0.168184
5000x5000,2,column,guided,5,0.167907
5000x5000,2,column,guided,Average,0.167602
5000x5000,2,column,runtime,1,0.168092
5000x5000,2,column,runtime,2,0.167693
5000x5000,2,column,runtime,3,0.168706
5000x5000,2,column,runtime,4,0.168296
5000x5000,2,column,runtime,5,0.167054
5000x5000,2,column,runtime,Average,0.167968
10000x10000,2,row,static,1,0.800643
10000x10000,2,row,static,2,0.800976
10000x10000,2,row,static,3,0.800019
10000x10000,2,row,static,4,0.802210
10000x10000,2,row,static,5,0.802578
10000x10000,2,row,static,Average,0.801285
10000x10000,2,row,dynamic,1,0.800892
10000x10000,2,row,dynamic,2,0.801510
10000x10000,2,row,dynamic,3,0.803395
10000x10000,2,row,dynamic,4,0.803651
10000x10000,2,row,dynamic,5,0.809211
10000x10000,2,row,dynamic,Average,0.803732
10000x10000,2,row,guided,1,0.806867
